~/HirewayManager$ python3 scripts/import_onet_to_db.py
2025-01-03 02:29:25,989 - INFO - Starting data import process...
2025-01-03 02:29:25,989 - INFO - Reading CSV files...
2025-01-03 02:29:26,026 - INFO - Successfully read 1016 occupations and 55120 alternative titles
2025-01-03 02:29:26,504 - INFO - Successfully connected to database
2025-01-03 02:29:26,505 - INFO - Processing major groups...
2025-01-03 02:29:26,668 - INFO - Inserted 23 major groups
2025-01-03 02:29:26,668 - INFO - Processing minor groups...
2025-01-03 02:29:26,829 - INFO - Inserted 113 minor groups
2025-01-03 02:29:26,829 - INFO - Processing alternative titles...
2025-01-03 02:29:28,749 - INFO - Processing detailed occupations...
2025-01-03 02:29:28,750 - WARNING - Duplicate SOC code found: 11-1011, skipping...
2025-01-03 02:29:28,750 - WARNING - Duplicate SOC code found: 11-3013, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3031, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3031, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3051, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3051, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3051, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3051, skipping...
2025-01-03 02:29:28,751 - WARNING - Duplicate SOC code found: 11-3051, skipping...
2025-01-03 02:29:28,752 - WARNING - Duplicate SOC code found: 11-3071, skipping...
2025-01-03 02:29:28,752 - WARNING - Duplicate SOC code found: 11-9041, skipping...
2025-01-03 02:29:28,753 - WARNING - Duplicate SOC code found: 11-9121, skipping...
2025-01-03 02:29:28,753 - WARNING - Duplicate SOC code found: 11-9121, skipping...
2025-01-03 02:29:28,753 - WARNING - Duplicate SOC code found: 11-9179, skipping...
2025-01-03 02:29:28,753 - WARNING - Duplicate SOC code found: 11-9179, skipping...
2025-01-03 02:29:28,753 - WARNING - Duplicate SOC code found: 11-9199, skipping...
2025-01-03 02:29:28,753 - WARNING - Duplicate SOC code found: 11-9199, skipping...
2025-01-03 02:29:28,754 - WARNING - Duplicate SOC code found: 11-9199, skipping...
2025-01-03 02:29:28,754 - WARNING - Duplicate SOC code found: 11-9199, skipping...
2025-01-03 02:29:28,754 - WARNING - Duplicate SOC code found: 11-9199, skipping...
2025-01-03 02:29:28,754 - WARNING - Duplicate SOC code found: 11-9199, skipping...
2025-01-03 02:29:28,754 - WARNING - Duplicate SOC code found: 13-1041, skipping...
2025-01-03 02:29:28,754 - WARNING - Duplicate SOC code found: 13-1041, skipping...
2025-01-03 02:29:28,755 - WARNING - Duplicate SOC code found: 13-1041, skipping...
2025-01-03 02:29:28,755 - WARNING - Duplicate SOC code found: 13-1041, skipping...
2025-01-03 02:29:28,755 - WARNING - Duplicate SOC code found: 13-1041, skipping...
2025-01-03 02:29:28,755 - WARNING - Duplicate SOC code found: 13-1041, skipping...
2025-01-03 02:29:28,755 - WARNING - Duplicate SOC code found: 13-1081, skipping...
2025-01-03 02:29:28,755 - WARNING - Duplicate SOC code found: 13-1081, skipping...
