onetsoc_code,alternate_title,short_title,sources
11-1011.00,Aeronautics Commission Director,,08
11-1011.00,Agency Owner,,10
11-1011.00,Agricultural Services Director,,08
11-1011.00,Arts and Humanities Council Director,,08
11-1011.00,Bank President,,09
11-1011.00,Bureau Chief,,"04,06"
11-1011.00,Business Development Executive (BD Executive),BD Executive,09
11-1011.00,Business Development Officer (BD Officer),BD Officer,09
11-1011.00,Business Enterprise Officer,,08
11-1011.00,Business Executive,,09
11-1011.00,CEO (Chief Executive Officer),CEO,"02,04,08,10"
11-1011.00,Chief Administrative Officer (CAO),CAO,09
11-1011.00,Chief Diversity Officer (CDO),CDO,02
11-1011.00,Chief Financial Officer (CFO),CFO,"01,02,04,08"
11-1011.00,Chief Information Officer (CIO),CIO,"02,08"
11-1011.00,Chief Information Security Officer (CISO),CISO,01
11-1011.00,Chief Innovation Officer (CINO),CINO,08
11-1011.00,Chief Nursing Officer (CNO),CNO,02
11-1011.00,Chief Operating Officer (COO),COO,"02,04,08,10"
11-1011.00,Chief Technical Officer (CTO),CTO,"02,08"
11-1011.00,Chief Technology Officer (CTO),CTO,01
11-1011.00,Chief Warden,,08
11-1011.00,Commissioner,,"04,06"
11-1011.00,Consumer Affairs Director,,08
11-1011.00,Corporate Executive,,09
11-1011.00,Correctional Agency Director,,08
11-1011.00,County Commissioner,,"04,06"
11-1011.00,County Executive Director,,10
11-1011.00,Deputy District Customs Director,,08
11-1011.00,Deputy Insurance Commissioner,,08
11-1011.00,District Customs Director,,08
11-1011.00,Employment Research and Planning Director,,08
11-1011.00,Employment Services Director,,08
11-1011.00,Executive Director,,"02,08,10"
11-1011.00,Executive Officer,,"02,10"
11-1011.00,Executive Vice President (EVP),EVP,"02,08"
11-1011.00,Finance Vice President (Finance VP),Finance VP,"02,08"
11-1011.00,Financial Institution President,,08
11-1011.00,Financial Responsibility Division Director,,08
11-1011.00,Foundation Director,,09
11-1011.00,Government Service Executive,,"04,08"
11-1011.00,Health Commissioner,,"04,06"
11-1011.00,Highway Commissioner,,"04,06"
11-1011.00,Hospital CFO (Hospital Chief Financial Officer),Hospital CFO,10
11-1011.00,Institution Director,,08
11-1011.00,Insurance Commissioner,,"04,06"
11-1011.00,Internal Revenue Commissioner,,"04,06"
11-1011.00,Labor Commissioner,,"04,06"
11-1011.00,Labor Standards Director,,08
11-1011.00,Law Enforcement Director,,08
11-1011.00,Licensing and Registration Director,,08
11-1011.00,Liquor Commissioner,,"04,06"
11-1011.00,Liquor Stores and Agencies Supervisor,,08
11-1011.00,Media Executive,,09
11-1011.00,Medical Facilities Section Director,,08
11-1011.00,Music Executive,,09
11-1011.00,Nonprofit Director,,09
11-1011.00,Operations Vice President (Operations VP),Operations VP,"02,08"
11-1011.00,Police Commissioner,,08
11-1011.00,President,,"02,09,10"
11-1011.00,Private Sector Executive,,08
11-1011.00,Public Health Director,,09
11-1011.00,Public Works Commissioner,,08
11-1011.00,Public Works Director,,09
11-1011.00,Railroad Commissioner,,"04,06"
11-1011.00,Regulatory Agency Director,,08
11-1011.00,Relocation Commissioner,,08
