onetsoc_code,sector,percent
11-1011.00,NAICS92,30.5
11-1011.00,NAICS23,20.0
11-1011.00,NAICS61,14.7
11-1011.00,NAICS31_33,11.6
11-1011.00,NAICS71,6.3
11-1011.00,NAICS48_49,5.3
11-1011.00,NAICS62,4.2
11-1011.00,NAICS56,3.2
11-1011.00,NAICS21,2.1
11-1011.00,NAICS54,1.1
11-1011.00,NAICS44_45,1.1
11-1011.00,NAICS72,0.0
11-1011.00,NAICS11,0.0
11-1011.00,NAICS52,0.0
11-1011.00,NAICS51,0.0
11-1011.00,NAICS55,0.0
11-1011.00,NAICS81,0.0
11-1011.00,NAICS53,0.0
11-1011.00,NAICS00,0.0
11-1011.00,NAICS22,0.0
11-1011.00,NAICS42,0.0
11-1021.00,NAICS23,41.5
11-1021.00,NAICS44_45,13.4
11-1021.00,NAICS31_33,11.0
11-1021.00,NAICS81,11.0
11-1021.00,NAICS21,8.5
11-1021.00,NAICS56,6.1
11-1021.00,NAICS92,3.7
11-1021.00,NAICS51,2.4
11-1021.00,NAICS71,1.2
11-1021.00,NAICS42,1.2
11-1021.00,NAICS72,0.0
11-1021.00,NAICS11,0.0
11-1021.00,NAICS61,0.0
11-1021.00,NAICS52,0.0
11-1021.00,NAICS62,0.0
11-1021.00,NAICS55,0.0
11-1021.00,NAICS54,0.0
11-1021.00,NAICS53,0.0
11-1021.00,NAICS48_49,0.0
11-1021.00,NAICS00,0.0
11-1021.00,NAICS22,0.0
11-2011.00,NAICS71,31.1
11-2011.00,NAICS51,28.4
11-2011.00,NAICS62,8.1
11-2011.00,NAICS31_33,8.1
11-2011.00,NAICS61,6.8
11-2011.00,NAICS72,5.4
11-2011.00,NAICS81,4.1
11-2011.00,NAICS56,2.7
11-2011.00,NAICS52,2.7
11-2011.00,NAICS54,1.4
11-2011.00,NAICS42,1.4
11-2011.00,NAICS11,0.0
11-2011.00,NAICS23,0.0
11-2011.00,NAICS55,0.0
11-2011.00,NAICS21,0.0
11-2011.00,NAICS92,0.0
11-2011.00,NAICS53,0.0
11-2011.00,NAICS44_45,0.0
11-2011.00,NAICS48_49,0.0
11-2011.00,NAICS00,0.0
11-2011.00,NAICS22,0.0
11-2021.00,NAICS31_33,39.3
11-2021.00,NAICS42,11.1
11-2021.00,NAICS62,10.3
11-2021.00,NAICS72,7.7
11-2021.00,NAICS61,5.1
11-2021.00,NAICS54,5.1
11-2021.00,NAICS52,4.3
11-2021.00,NAICS51,4.3
11-2021.00,NAICS23,3.4
11-2021.00,NAICS71,2.6
11-2021.00,NAICS56,1.7
11-2021.00,NAICS53,1.7
11-2021.00,NAICS44_45,1.7
11-2021.00,NAICS81,0.9
11-2021.00,NAICS22,0.9
11-2021.00,NAICS11,0.0
11-2021.00,NAICS55,0.0
11-2021.00,NAICS21,0.0
11-2021.00,NAICS92,0.0
11-2021.00,NAICS48_49,0.0
11-2021.00,NAICS00,0.0
11-3012.00,NAICS61,26.1
11-3012.00,NAICS92,22.4
11-3012.00,NAICS62,15.7
11-3012.00,NAICS54,6.7
11-3012.00,NAICS71,5.2
11-3012.00,NAICS31_33,5.2
11-3012.00,NAICS81,5.2
11-3012.00,NAICS52,4.5
11-3012.00,NAICS51,3.7
11-3012.00,NAICS22,3.0
11-3012.00,NAICS48_49,1.5
11-3012.00,NAICS56,0.7
11-3012.00,NAICS72,0.0
11-3012.00,NAICS11,0.0
11-3012.00,NAICS23,0.0
11-3012.00,NAICS55,0.0
11-3012.00,NAICS21,0.0
11-3012.00,NAICS53,0.0
11-3012.00,NAICS44_45,0.0
11-3012.00,NAICS00,0.0
11-3012.00,NAICS42,0.0
11-3013.00,NAICS92,21.9
11-3013.00,NAICS61,17.7
11-3013.00,NAICS31_33,12.5
11-3013.00,NAICS71,10.4
11-3013.00,NAICS72,9.4
11-3013.00,NAICS62,9.4
11-3013.00,NAICS81,8.3
11-3013.00,NAICS48_49,7.3
11-3013.00,NAICS11,1.0
11-3013.00,NAICS51,1.0
11-3013.00,NAICS54,1.0
11-3013.00,NAICS56,0.0
11-3013.00,NAICS23,0.0
11-3013.00,NAICS52,0.0
11-3013.00,NAICS55,0.0
11-3013.00,NAICS21,0.0
11-3013.00,NAICS53,0.0
11-3013.00,NAICS44_45,0.0
11-3013.00,NAICS00,0.0
11-3013.00,NAICS22,0.0
11-3013.00,NAICS42,0.0
11-3021.00,NAICS92,30.3
11-3021.00,NAICS62,14.5
11-3021.00,NAICS31_33,14.5
11-3021.00,NAICS54,10.5
11-3021.00,NAICS23,9.2
11-3021.00,NAICS61,7.9
11-3021.00,NAICS51,6.6
11-3021.00,NAICS52,2.6
11-3021.00,NAICS42,2.6
11-3021.00,NAICS56,1.3
11-3021.00,NAICS72,0.0
11-3021.00,NAICS11,0.0
11-3021.00,NAICS71,0.0
11-3021.00,NAICS55,0.0
11-3021.00,NAICS21,0.0
11-3021.00,NAICS81,0.0
11-3021.00,NAICS53,0.0
11-3021.00,NAICS44_45,0.0
11-3021.00,NAICS48_49,0.0
11-3021.00,NAICS00,0.0
11-3021.00,NAICS22,0.0
11-3031.00,NAICS52,88.5
11-3031.00,NAICS54,9.8
11-3031.00,NAICS55,1.6
11-3031.00,NAICS72,0.0
11-3031.00,NAICS56,0.0
11-3031.00,NAICS11,0.0
11-3031.00,NAICS71,0.0
11-3031.00,NAICS23,0.0
11-3031.00,NAICS61,0.0
11-3031.00,NAICS62,0.0
11-3031.00,NAICS51,0.0
