naics,concat,Sector,,,,
0,NAICS00,Unclassified,,,,
11,NAICS11,"Agriculture, forestry, fishing and hunting",,,,
21,NAICS21,Mining,,,,
22,NAICS22,Utilities,,,,
23,NAICS23,Construction,,,,
31_33,NAICS31_33,Manufacturing,,,,
42,NAICS42,Wholesale trade,,,,
44_45,NAICS44_45,Retail trade,,,,
48_49,NAICS48_49,Transportation and warehousing,,,,
51,NAICS51,Information,,,,
52,NAICS52,Finance and insurance,,,,
53,NAICS53,Real estate and rental and leasing,,,,
54,NAICS54,"Professional, Scientific and Technical Services",,,,
55,NAICS55,Management of Companies and Enterprises,,,,
56,NAICS56,Administrative and support and waste management and remediation services,,,,
61,NAICS61,Education services,,,,
62,NAICS62,Health care and social assistance,,,,
71,NAICS71,"Arts, entertainment, and recreation",,,,
72,NAICS72,Accommodation and food services,,,,
81,NAICS81,"Other services, except public administration",,,,
92,NAICS92,Public administration,,,,
